Machine Learning Methodology	Model	% Accuracy Score	Sensitivity	Specificity	TP	FP	TN	FN
Random forest	ALL LM	73	0.87	0.55	87	45	55	13
SVM	ALL LM	59	0.62	0.51	62	38	51	49
Elastic Net	ALL LM	61	0.77	0.39	77	61	39	23
Bayesian	ALL LM	56	0.6	0.5	60	50	50	40
Random forest	DHA	81	0.8	0.82	80	18	82	20
SVM	DHA	62	0.65	0.55	65	35	55	45
Elastic Net	DHA	64	0.62	0.68	62	32	68	38
Bayesian	DHA	59	0.67	0.49	67	51	49	33
Random forest	n3DPA	73	0.87	0.55	87	45	55	13
SVM	n3DPA	63	0.64	0.59	64	36	59	41
Elastic Net	n3DPA	61	0.74	0.43	74	57	43	26
Bayesian	n3DPA	61	0.73	0.45	73	55	45	27
Random forest	EPA	69	0.87	0.45	87	55	45	13
SVM	EPA	65	0.66	0.62	66	34	62	38
Elastic Net	EPA	54	0.8	0.19	80	81	19	20
Bayesian	EPA	53	0.82	0.16	82	84	16	18
Random forest	AA	65	0.8	0.45	80	55	45	20
SVM	AA	57	0.6	0.45	60	40	45	55
Elastic Net	AA	57	0.71	0.36	71	64	36	29
Bayesian	AA	57	0.7	0.39	70	61	39	30
